-92.75,-68.875,-69.8,-53.25,-53.1,-99,-99,-57.175,-57.275,-55.825,-96.25,-54.525,-99,-54.625,-55.55,-88.925,-89.05,-87.4,-85.25,-86.725,0,0
-92.35,-69.7,-69.425,-52.55,-52.525,-99,-99,-57.575,-57.625,-61.85,-97.8,-56.625,-89.075,-56.525,-62.225,-90.825,-90.925,-87.825,-86.95,-86.175,1.2,0
-92.2,-78.25,-78.525,-55.025,-54.625,-99,-99,-61.25,-61.175,-58.175,-88.025,-58.125,-87.2,-57.8,-57.875,-88.9,-88.775,-92.025,-84.8,-84.825,1.2,1.2
-86.9,-76.475,-77.675,-54.375,-54.425,-99,-99,-62.725,-62.825,-62.575,-88.5,-55.075,-92.25,-55.075,-61.575,-88.175,-93.775,-99,-84.2,-86.95,0,1.2
-94.6,-77.35,-78.8,-56.8,-56.575,-99,-99,-65.55,-65.7,-58.7,-92.75,-55.575,-99,-55,-58.475,-90.6,-99,-86.65,-84.475,-84.45,0,2.4
-99,-83.475,-80.375,-57.925,-57.925,-99,-99,-67.275,-67.3,-61.725,-99,-57.075,-99,-56.9,-61.525,-97.6,-94.15,-91.3,-99,-87.1,1.2,2.4
-88.625,-82,-83.775,-57.65,-57.75,-99,-99,-71.25,-71.025,-58.625,-89.95,-55.1,-90.95,-55.075,-58.775,-90.9,-89.5,-95.425,-86.7,-86.075,1.2,3.6
-98.7,-81.325,-84.925,-59,-59.225,-99,-99,-68.925,-68.975,-57.8,-85.65,-56.775,-85.525,-56.65,-57.725,-89.7,-88.4,-83.425,-82.3,-85.65,0,3.6
-90.575,-83.4,-81.875,-61.075,-61.5,-99,-99,-65.35,-65.025,-52.7,-98.675,-55.075,-88.75,-54.9,-52.55,-87.8,-88.425,-85.575,-83.4,-83.575,0,4.8
-98.8,-84.55,-84.55,-58.825,-58.825,-99,-99,-72.6,-72.925,-53.45,-99,-53.55,-90.1,-53.5,-53.25,-91.15,-90.525,-84.775,-86.775,-85.6,1.2,4.8
-89.675,-84.45,-84.4,-59.65,-59.525,-99,-99,-72.45,-72.4,-56.3,-95.2,-50.775,-89.4,-50.675,-56.475,-89.725,-90,-81,-85.975,-84.35,1.2,6
-88.85,-81.7,-83.775,-61,-60.9,-97.85,-97.425,-71.4,-71.4,-55.875,-86.1,-54.5,-87.175,-54.125,-55.45,-88.2,-88.825,-83.75,-83,-82.65,0,6
-83.55,-88.975,-88.675,-59.125,-58.975,-99,-99,-70.95,-71.225,-49.45,-81.525,-48.625,-82.2,-48.425,-48.85,-94.95,-87.4,-82.975,-78.975,-76.65,0,7.2
-84.925,-86.2,-87.075,-59.775,-59.75,-99,-99,-72.175,-71.8,-53.5,-83.3,-49.3,-83.15,-49,-52.725,-97.375,-87.05,-82.525,-83.05,-82.7,1.2,7.2
-86.375,-88.825,-92.45,-60.55,-60.425,-92.35,-91.4,-76.8,-77.05,-51.275,-79.025,-47.65,-83.25,-48,-50.55,-83.45,-83.8,-79.65,-79.875,-79.975,1.2,8.4
-84.9,-81.7,-85.725,-59.85,-60,-96.3,-95.9,-75.7,-75.425,-48.625,-79.95,-47.7,-80.45,-47.75,-47.75,-87.725,-87.475,-80.15,-80.425,-80.8,0,8.4
-79.2,-87.15,-85.475,-60.075,-60.025,-99,-94.5,-73.25,-73.275,-46.2,-82.625,-48.425,-79.55,-48.35,-45.625,-86.25,-85.3,-75.475,-77.575,-78.45,0,9.6
-80.85,-90.475,-90.75,-59.45,-59.375,-89.7,-89.775,-76.45,-76.2,-47.275,-76.625,-44.075,-76.325,-44.3,-46.175,-82.925,-82.4,-77.675,-76.8,-77.5,1.2,9.6
-75.925,-90.75,-93,-59.25,-59.125,-89.95,-90.7,-78.4,-78.75,-45.475,-71.1,-43.225,-71.675,-43.375,-44.825,-83.55,-83.7,-73.775,-76.525,-77.9,1.2,10.8
-73.375,-91.225,-97.05,-65.575,-65.375,-88.075,-88.95,-75,-75.05,-48.35,-71.425,-46.15,-71.65,-46.075,-47.25,-83.875,-84.3,-69.925,-73.3,-74.55,0,10.8
-71.075,-99,-89.075,-62.275,-62.05,-90.125,-90.5,-75.05,-75.125,-46.275,-71.975,-44.725,-70.225,-44.325,-46,-82.35,-81.6,-69.225,-74.325,-75.075,0,12
